20
10
3 4 5
1H -> 0
1D -> 0
2H -> 0
2D -> 0
3H -> 0
3D -> 0
4H -> 0
4D -> 0
5H -> 0
5D -> 0
6H -> 0
6D -> 0
7H -> 7
7D -> 20
8H -> 8
1D 2H 9D -> 22
1D 2H 10H -> 10
1D 2H 10D -> 23
1D 2H 11H -> 11
1D 2H 11D -> 24
1D 2H 12H -> 12
1D 2H 12D -> 25
1D 2H 13H -> 13
1D 2H 13D -> 26
1D 2D 3H -> 14
1D 2D 3D -> 14
1D 2D 4H -> 14
1D 2D 4D -> 14
1D 2D 5H -> 15
1D 2D 5D -> 15
1D 2D 6H -> 6
1D 2D 6D -> 19
1D 2D 7H -> 7
1D 2D 7D -> 20
1D 2D 8H -> 8
1D 2D 8D -> 21
1D 2D 9H -> 9
1D 2D 9D -> 22
1D 2D 10H -> 10
1D 2D 10D -> 23
1D 2D 11H -> 11
1D 2D 11D -> 24
1D 2D 12H -> 12
1D 2D 12D -> 25
1D 2D 13H -> 13
1D 2D 13D -> 26
1D 3H 3D -> 14
1D 3H 4H -> 4
1D 3H 4D -> 17
1D 3H 5H -> 3
1D 3H 5D -> 3
1D 3H 6H -> 6
1D 3H 6D -> 19
1D 3H 7H -> 7
1D 3H 7D -> 20
1D 3H 8H -> 8
1D 3H 8D -> 21
1D 3H 9H -> 9
1D 3H 9D -> 22
1D 3H 10H -> 10
1D 3H 10D -> 23
1D 3H 11H -> 11
1D 3H 11D -> 24
1D 3H 12H -> 12
1D 3H 12D -> 25
1D 3H 13H -> 13
1D 3H 13D -> 26
1D 3D 4H -> 4
1D 3D 4D -> 17
1D 3D 5H -> 16
1D 3D 5D -> 16
1D 3D 6H -> 6
1D 3D 6D -> 19
1D 3D 7H -> 7
1D 3D 7D -> 20
1D 3D 8H -> 8
1D 3D 8D -> 21
1D 3D 9H -> 9
1D 3D 9D -> 22
1D 3D 10H -> 10
1D 3D 10D -> 23
1D 3D 11H -> 11
1D 3D 11D -> 24
