25.000121	0
25.000121	0
25.000121	14
25.000121	0
25.000121	0
25.000121	0
25.000121	0
25.000121	0
25.000121	0
25.000121	0
25.000121	0
25.000121	0
25.000122	0
25.000121	0
25.000121	0
25.000121	0
25.000121	0
25.000121	0
25.000121	0
25.000121	0
25.000121	0
25.000121	0
25.000121	0
25.000121	0
25.000121	0
25.000121	13
25.000121	26
25.000122	14
25.000122	2
25.000122	15
25.000122	3
25.000122	16
25.000122	4
25.000122	17
25.000122	5
25.000121	18
25.000121	6
25.000122	1
25.000122	7
25.000121	20
25.000121	8
25.000121	21
25.000122	9
25.000122	22
25.000121	10
25.000121	23
25.000122	11
25.000122	24
25.000122	1
25.000121	25
25.000122	13
25.000122	26
25.000121	14
25.000122	14
25.000121	14
25.000121	14
25.000122	14
25.000121	14
25.000121	14
25.000121	14
25.000121	14
25.000122	14
25.000121	14
25.000121	14
25.000121	14
25.000121	14
25.000121	14
25.000121	14
25.000121	14
25.000120	14
25.000117	14
25.000121	14
25.000121	14
25.000121	14
25.000121	13
25.000121	26
25.000121	2
25.000121	2
25.000121	2
25.000121	2
25.000121	2
25.000121	2
25.000121	2
25.000121	2
25.000122	2
25.000121	2
25.000121	2
25.000121	2
25.000121	2
25.000121	2
25.000121	2
25.000121	2
25.000121	23
25.000121	11
25.000121	2
25.000121	2
25.000121	25
25.000121	13
25.000121	26
25.000121	3
25.000122	16
25.000122	15
25.000122	17
25.000121	5
25.000121	18
25.000121	6
25.000122	15
25.000121	7
25.000121	20
25.000121	8
25.000121	21
25.000121	9
25.000121	22
25.000122	10
25.000121	23
25.000122	11
25.000122	24
25.000122	15
25.000121	25
25.000122	13
25.000122	26
25.000121	3
25.000121	3
25.000121	3
25.000121	3
25.000121	18
25.000121	3
25.000122	3
25.000121	7
25.000121	20
25.000121	8
25.000121	21
25.000121	3
25.000121	3
25.000121	3
25.000121	23
25.000121	11
25.000121	3
25.000122	3
25.000121	25
25.000121	13
25.000121	26
25.000121	16
25.000121	16
25.000121	5
25.000121	18
25.000121	6
25.000121	16
25.000121	7
25.000121	20
25.000121	8
25.000121	21
25.000121	16
25.000121	16
25.000121	16
25.000121	23
25.000121	11
25.000121	16
25.000122	16
25.000121	25
25.000121	13
25.000121	26
25.000121	17
25.000121	5
25.000121	18
25.000122	6
25.000122	4
25.000121	7
25.000121	20
25.000121	8
25.000121	21
25.000122	9
25.000121	22
25.000122	10
25.000122	23
25.000122	11
25.000122	24
25.000122	4
25.000121	25
25.000122	13
25.000122	26
25.000121	5
25.000121	18
25.000121	6
25.000122	17
25.000121	7
25.000121	20
25.000121	8
25.000121	21
25.000121	9
25.000121	22
25.000121	10
25.000121	23
25.000121	11
25.000121	17
25.000122	17
25.000121	25
25.000121	13
25.000121	26
25.000121	18
25.000121	5
25.000122	5
25.000121	7
25.000121	20
25.000121	8
25.000121	21
25.000121	5
25.000121	5
25.000121	5
25.000121	23
25.000121	11
25.000121	5
25.000122	5
25.000121	25
25.000121	13
25.000121	26
25.000121	18
25.000122	18
25.000121	7
25.000121	18
25.000121	8
25.000121	18
25.000121	18
25.000121	18
25.000121	18
25.000121	23
25.000121	11
25.000121	18
25.000122	18
25.000121	25
25.000121	13
25.000121	26
25.000122	6
25.000121	7
25.000121	20
25.000121	8
25.000121	21
25.000121	6
25.000121	6
25.000121	6
25.000121	23
25.000121	11
25.000121	6
25.000122	6
25.000121	25
25.000121	13
25.000121	26
25.000121	7
25.000122	20
25.000122	8
25.000122	21
25.000122	9
25.000122	22
25.000122	10
25.000121	23
25.000122	11
25.000122	24
25.000122	19
25.000121	25
25.000122	13
25.000122	26
25.000121	7
25.000121	7
25.000121	7
25.000121	7
25.000121	7
25.000121	7
25.000121	23
25.000121	11
25.000121	7
25.000122	7
25.000121	25
25.000121	13
25.000121	26
25.000121	8
25.000121	20
25.000121	20
25.000121	20
25.000121	20
25.000121	23
25.000121	11
25.000121	20
25.000122	20
25.000121	25
25.000121	13
25.000121	26
25.000121	8
25.000121	8
25.000121	8
25.000121	8
25.000121	23
25.000121	11
25.000121	8
25.000122	8
25.000121	25
25.000121	13
25.000121	26
25.000121	21
25.000121	21
25.000121	21
25.000121	23
25.000121	11
25.000121	21
25.000122	21
25.000121	25
25.000121	13
25.000121	26
25.000121	22
25.000121	9
25.000121	23
25.000121	11
25.000121	9
